store_number,date,price_index,sales_index
547,2015-01-01,0.9622897281762808,906.8025783072169
547,2015-01-02,0.9507883055641417,851.531050828178
547,2015-01-03,0.9662503001743165,824.2075430039741
547,2015-01-04,0.9480072839151145,878.9356303008283
547,2015-01-05,0.9538970420481963,808.378155742811
547,2015-01-06,0.9623302141288664,734.8743615558142
547,2015-01-07,0.9460549786349408,870.5458313446451
547,2015-01-08,0.9410429027047975,902.0935693746778
547,2015-01-09,0.9621425489018687,1049.1387845377342
547,2015-01-10,0.9695805288741715,776.2680953135189
547,2015-01-11,0.9775684308501512,851.102762882119
547,2015-01-12,0.9653763116964214,766.2250172344936
547,2015-01-13,0.9543127784674078,874.0468276125396
547,2015-01-14,0.9618313391585126,824.1151861838531
547,2015-01-15,0.9672685072877946,883.2006356368873
547,2015-01-16,0.9432884563653144,1095.700443877119
547,2015-01-17,0.9602009370780326,765.9518818145266
547,2015-01-18,0.9645139400255828,717.7237199276528
547,2015-01-19,0.950498841882996,916.0611857707695
547,2015-01-20,0.9469756162785262,820.3330466219869
547,2015-01-21,0.977565824921989,815.9394178975006
547,2015-01-22,0.9620175712239073,896.7004257580717
547,2015-01-23,0.9580740643221521,1087.64072991115
547,2015-01-24,0.9812879295190828,693.6986143397377
547,2015-01-25,0.9654594576280272,722.2440222767838
547,2015-01-26,0.9580222562297988,661.4290526477942
547,2015-01-27,0.9619361454057287,645.6260675701488
547,2015-01-28,0.9458478467594962,762.0291849573647
547,2015-01-29,0.9422169176679526,909.0854698651633
547,2015-01-30,0.9658183465744665,1084.2602024016485
547,2015-01-31,0.9647801287081792,754.6998036446123
547,2015-02-01,0.9656071629081909,591.0070169071134
547,2015-02-02,0.9413382938585049,740.1911971389239
547,2015-02-03,0.9649146260406152,764.0020742305214
547,2015-02-04,0.9457559381968691,818.8880587236259
547,2015-02-05,0.943248092373229,871.0505682952577
547,2015-02-06,0.9596494736973891,1052.0782528945367
547,2015-02-07,0.9689442087153192,814.9559714766314
547,2015-02-08,0.9620318329162167,820.9959092850339
547,2015-02-09,0.9595482652469196,807.0022205303794
547,2015-02-10,0.9566327285671364,807.1496183251988
547,2015-02-11,0.9574650825797707,890.5793023441414
547,2015-02-12,0.9569917234631619,958.3789459289517
547,2015-02-13,0.9462258009166491,1143.5711220515182
547,2015-02-14,0.9408776509112008,762.780148214916
547,2015-02-15,0.9566293128090784,787.3357019923491
547,2015-02-16,0.9284153323688992,916.9086560317187
547,2015-02-17,0.9403393116320466,686.1732105305513
547,2015-02-18,0.9286396354602212,881.408237213448
547,2015-02-19,0.9426965157342619,952.9046467555735
547,2015-02-20,0.9451031013152357,1035.672113608574
547,2015-02-21,0.9602630681624023,957.4303972327112
547,2015-02-22,0.9492773832556853,795.4322186300765
547,2015-02-23,0.941053846654816,900.7929726606548
547,2015-02-24,0.9419526739521703,829.2881550250385
547,2015-02-25,0.932049827482665,936.851407965613
547,2015-02-26,0.947704269920576,918.7685431301044
547,2015-02-27,0.9384660189593134,1098.946488708168
547,2015-02-28,0.9395168736564208,908.1970380618282
547,2015-03-01,0.9504521287659068,821.0005217360649
547,2015-03-02,0.9400365804430451,866.1097322493868
547,2015-03-03,0.9544994732550369,895.1110978626665
547,2015-03-04,0.9313157097414735,963.9961117598609
547,2015-03-05,0.9615379902648159,888.4725213498402
547,2015-03-06,0.9498958366182447,1017.0233595122844
547,2015-03-07,0.9559927800054375,828.2507813181116
547,2015-03-08,0.9495248190869623,882.4953619197391
547,2015-03-09,0.9356752699038078,899.0955299105358
547,2015-03-10,0.945682823297995,925.5345473289107
547,2015-03-11,0.9356398542823666,899.0045793885089
547,2015-03-12,0.9458912749635259,981.4281797263508
547,2015-03-13,0.9431282241831576,1247.3999743463266
547,2015-03-14,0.9496948385904774,929.3433926754973
547,2015-03-15,0.9489356124584614,1019.6074130821045
547,2015-03-16,0.9381615649098447,923.1419918479232
547,2015-03-17,0.9543297753016429,905.0180552330088
547,2015-03-18,0.9452192297873405,942.980802771253
547,2015-03-19,0.9423076834533642,1039.4743679296523
547,2015-03-20,0.9339784305800652,1011.0563423107207
547,2015-03-21,0.9515123843901562,949.1688823258397
547,2015-03-22,0.9495018930693524,896.3940623604893
547,2015-03-23,0.9614552709904636,868.1297915959713
547,2015-03-24,0.9728945694444513,865.101137388557
547,2015-03-25,0.9597869682936732,992.8061372963207
547,2015-03-26,0.960416631354862,948.6889338043151
547,2015-03-27,0.9615374834261423,1222.4450262684943
547,2015-03-28,0.9668120396340605,911.2381115761154
547,2015-03-29,0.9639633014099696,1008.8845934837456
547,2015-03-30,0.9541008294388253,884.8238425608764
547,2015-03-31,0.9604777672573431,905.1819231610233
547,2015-04-01,0.9694393585213471,962.7311292332654
547,2015-04-02,0.9422949160951063,1162.9050098495586
547,2015-04-03,0.9588494174512182,1045.3995786984356
547,2015-04-04,0.9769319045784592,774.7256629976964
547,2015-04-05,0.9711004708644289,772.7368506653643
547,2015-04-06,0.9585785666277622,1022.6870079486099
547,2015-04-07,0.9535567990524981,895.8483328142887
547,2015-04-08,0.9637161422526134,877.6489252939696
547,2015-04-09,0.973785058710759,1008.1407922413719
547,2015-04-10,0.9652357084421314,1159.192327280798
547,2015-04-11,0.9555170429747778,999.6329409363548
547,2015-04-12,0.976844531409497,1104.8428194155274
547,2015-04-13,0.9754700421703965,945.6456560630833
547,2015-04-14,0.9808413563826975,914.5624287442952
547,2015-04-15,0.973013206405748,1019.1400798937744
547,2015-04-16,0.9630127590479562,1111.4746536560694
547,2015-04-17,0.9737835836253845,1278.5191553737673
547,2015-04-18,0.9820119597096243,1122.5757878814802
547,2015-04-19,0.980580188208591,1141.0395382143101
547,2015-04-20,0.9468806373079544,887.9135731505329
547,2015-04-21,0.9766524217736401,929.1716647615532
547,2015-04-22,0.9627205184399913,997.5931595763611
547,2015-04-23,0.9841009326599051,1127.4795915331215
547,2015-04-24,0.9899178988086021,1310.2539318452432
547,2015-04-25,0.9662431149355251,978.6652884416859
547,2015-04-26,0.9781742334320118,1021.5109849278723
547,2015-04-27,0.9779442179046853,943.6082214852421
547,2015-04-28,0.9826074813229828,1015.3172500100076
547,2015-04-29,0.9721923389240209,1049.7603732316823
547,2015-04-30,0.9790935508868363,1140.2523007751602
547,2015-05-01,0.9660041069977393,1327.2297943049452
547,2015-05-02,0.9857163835594072,906.4438649929258
547,2015-05-03,0.9869756753072906,1070.9902845614706
